Time (s),Mean HR Fallers (bpm),SD HR Fallers (bpm),Mean HR Non-Fallers (bpm),SD HR Non-Fallers (bpm)
-1.062999999999999972e+02,6.498632751722455225e+01,1.054228942714929040e+01,6.709609299377085279e+01,1.192853966887905059e+01
-1.062000000000000028e+02,6.498234494910232684e+01,1.054520579100181443e+01,6.708328175942514804e+01,1.190165091155314592e+01
-1.060999999999999943e+02,6.497885564754376730e+01,1.054796004370395401e+01,6.707185957960696499e+01,1.187665385720644906e+01
-1.060000000000000000e+02,6.497595264283414451e+01,1.055038742613034231e+01,6.706196532076720018e+01,1.185379484705538466e+01
-1.059000000000000057e+02,6.497371367619366822e+01,1.055235104064870555e+01,6.705372152721476198e+01,1.183333304638303751e+01
-1.057999999999999972e+02,6.497216485715544820e+01,1.055377717028574835e+01,6.704720207260167797e+01,1.181550781476142120e+01
-1.057000000000000028e+02,6.497128052292119094e+01,1.055465678435624532e+01,6.704238800003970766e+01,1.180043599528718801e+01
-1.055999999999999943e+02,6.497100913196399574e+01,1.055502637728438664e+01,6.703913505861399358e+01,1.178799712805022182e+01
-1.055000000000000000e+02,6.497129356671352696e+01,1.055494113996853578e+01,6.703717760944923043e+01,1.177778937575814489e+01
-1.054000000000000057e+02,6.497207784336514180e+01,1.055445697146649309e+01,6.703612531868232338e+01,1.176915797315449730e+01
-1.052999999999999972e+02,6.497330464977594033e+01,1.055362865457018096e+01,6.703552697375359060e+01,1.176134386473632887e+01
-1.052000000000000028e+02,6.497491362394337955e+01,1.055250931826257244e+01,6.703499858348132534e+01,1.175367148470582102e+01
-1.050999999999999943e+02,6.497684327320344266e+01,1.055115147458305991e+01,6.703420224732074928e+01,1.174555414004592357e+01
-1.050000000000000000e+02,6.497903023038988124e+01,1.054960327385713903e+01,6.703277838003434397e+01,1.173643639942029715e+01
-1.049000000000000057e+02,6.498140609926285549e+01,1.054790286927503651e+01,6.703035813368879303e+01,1.172577142964844832e+01
-1.047999999999999972e+02,6.498390388615290192e+01,1.054608088108233765e+01,6.702662169842072615e+01,1.171310921590099596e+01
-1.047000000000000028e+02,6.498646686448785204e+01,1.054416626254668721e+01,6.702142487725325282e+01,1.169832277698574252e+01
-1.045999999999999943e+02,6.498903956790749703e+01,1.054219642537241874e+01,6.701484264513547373e+01,1.168163641079243398e+01
-1.045000000000000000e+02,6.499155568267043748e+01,1.054022382077737952e+01,6.700713750196227636e+01,1.166356044072655607e+01
-1.044000000000000057e+02,6.499395633680981632e+01,1.053831421501464227e+01,6.699871097223663696e+01,1.164485051662469139e+01
-1.042999999999999972e+02,6.499621221503598179e+01,1.053653843080957309e+01,6.698997246722446164e+01,1.162630948649053941e+01
-1.042000000000000028e+02,6.499831041121470321e+01,1.053495218500910191e+01,6.698126176436346668e+01,1.160861691338741508e+01
-1.040999999999999943e+02,6.500023617518651520e+01,1.053359140092922530e+01,6.697284698210951603e+01,1.159227277238653642e+01
