Time (s),Mean SBP (mmHg),SD SBP (mmHg)
-9.879999999999999716e+01,1.175107664435906827e+02,1.729255610957187628e+01
-9.870000000000000284e+01,1.172762501001423914e+02,1.709845442678396310e+01
-9.859999999999999432e+01,1.170286176205129891e+02,1.692501533291681071e+01
-9.850000000000000000e+01,1.167981319233170439e+02,1.678968546883860569e+01
-9.840000000000000568e+01,1.166366414242042424e+02,1.663943761704286572e+01
-9.829999999999999716e+01,1.165267779579064467e+02,1.646923191116762553e+01
-9.820000000000000284e+01,1.166508709102005383e+02,1.647243247383805809e+01
-9.809999999999999432e+01,1.167721081557936031e+02,1.650761515810378910e+01
-9.800000000000000000e+01,1.168871063238715919e+02,1.657634668926340282e+01
-9.790000000000000568e+01,1.170358989475397635e+02,1.668937563844488992e+01
-9.779999999999999716e+01,1.171923354922069080e+02,1.684408781886077477e+01
-9.770000000000000284e+01,1.173992574653856167e+02,1.704291127722767740e+01
-9.759999999999999432e+01,1.176094718083826507e+02,1.726501746400592197e+01
-9.750000000000000000e+01,1.177333855159696583e+02,1.750402923613446404e+01
-9.740000000000000568e+01,1.177603886173009471e+02,1.756728987591855429e+01
-9.729999999999999716e+01,1.177669333076035656e+02,1.763983951324439658e+01
-9.720000000000000284e+01,1.177675444570467533e+02,1.772397424149227518e+01
-9.709999999999999432e+01,1.177717035974246755e+02,1.781387354691444358e+01
-9.700000000000000000e+01,1.177634106797519138e+02,1.790097513915454641e+01
-9.690000000000000568e+01,1.177090186391350386e+02,1.796044092019019800e+01
-9.679999999999999716e+01,1.176538863355637972e+02,1.802290022017253790e+01
-9.670000000000000284e+01,1.176694401542600303e+02,1.804062455386307207e+01
-9.659999999999999432e+01,1.177122165936294920e+02,1.802304948070482737e+01
-9.650000000000000000e+01,1.177740216890850178e+02,1.797893266343631424e+01
-9.640000000000000568e+01,1.178518274864738231e+02,1.793508600785951757e+01
-9.629999999999999716e+01,1.179684058257208648e+02,1.788928571811229418e+01
-9.620000000000000284e+01,1.180796457431613504e+02,1.784182218721650415e+01
-9.609999999999999432e+01,1.181960557437632247e+02,1.780295958433268666e+01
-9.600000000000000000e+01,1.183040244098808529e+02,1.777546316714506958e+01
-9.590000000000000568e+01,1.183565850952394669e+02,1.776580550057605024e+01
-9.579999999999999716e+01,1.183489982624791139e+02,1.777174676290941591e+01
-9.570000000000000284e+01,1.182983876661337064e+02,1.778664927411761099e+01
-9.559999999999999432e+01,1.182199483577728216e+02,1.781491699567324360e+01
-9.550000000000000000e+01,1.181409040026206156e+02,1.786136079989747216e+01
-9.540000000000000568e+01,1.180486647231493862e+02,1.792685802582410659e+01
-9.529999999999999716e+01,1.179316699071178789e+02,1.799170687702198279e+01
-9.520000000000000284e+01,1.177983758629290492e+02,1.808987671730079327e+01
-9.509999999999999432e+01,1.176664085773584816e+02,1.802250197370733886e+01
-9.500000000000000000e+01,1.175086248953214465e+02,1.790974891465179297e+01
-9.490000000000000568e+01,1.173476076588139279e+02,1.781230994424924319e+01
-9.479999999999999716e+01,1.172074142088232662e+02,1.772690316087983931e+01
-9.470000000000000284e+01,1.171024383311434178e+02,1.765397490180633611e+01
-9.459999999999999432e+01,1.170608592730202275e+02,1.754462914276795971e+01
-9.450000000000000000e+01,1.171525896093629342e+02,1.757181438211389590e+01
-9.440000000000000568e+01,1.172417966681919808e+02,1.761139757526358807e+01
-9.429999999999999716e+01,1.173440128398085420e+02,1.766008543787159013e+01
-9.420000000000000284e+01,1.174465596424909819e+02,1.772211870175821957e+01
-9.409999999999999432e+01,1.175516458362745311e+02,1.779525156195080982e+01
-9.400000000000000000e+01,1.176361856682424047e+02,1.789315884312675209e+01
-9.390000000000000568e+01,1.176931596487431619e+02,1.801340701318649806e+01
-9.379999999999999716e+01,1.177386050467400196e+02,1.815631092678015790e+01
-9.370000000000000284e+01,1.177845945695066234e+02,1.830620728980217038e+01
-9.359999999999999432e+01,1.178268339657410309e+02,1.843683037669181957e+01
-9.350000000000000000e+01,1.178012995051058454e+02,1.835895650233040755e+01
-9.340000000000000568e+01,1.177080737139201574e+02,1.827382569016001312e+01
-9.329999999999999716e+01,1.176240990669059840e+02,1.817707389979568333e+01
-9.320000000000000284e+01,1.175718421994102840e+02,1.811787396676541206e+01
-9.309999999999999432e+01,1.175168880990741229e+02,1.809258437777393169e+01
-9.300000000000000000e+01,1.174461475469639282e+02,1.808175561092964045e+01
-9.290000000000000568e+01,1.174400520746781353e+02,1.801254362700835543e+01
-9.279999999999999716e+01,1.174162841559409571e+02,1.790787559861584910e+01
-9.270000000000000284e+01,1.173619459497050173e+02,1.781600687290240614e+01
-9.259999999999999432e+01,1.172830420060986967e+02,1.772483591190174579e+01
-9.250000000000000000e+01,1.172198374269354133e+02,1.764349078699587281e+01
-9.240000000000000568e+01,1.171953307663818862e+02,1.754826660385907289e+01
-9.229999999999999716e+01,1.171326337675656646e+02,1.747442476549963786e+01
-9.220000000000000284e+01,1.171470266279072092e+02,1.757467108519881904e+01
-9.209999999999999432e+01,1.171976123577799740e+02,1.776951088569476411e+01
-9.200000000000000000e+01,1.172525754292613840e+02,1.799187665593667163e+01
-9.190000000000000568e+01,1.173141502183094360e+02,1.823021729013625958e+01
-9.179999999999999716e+01,1.173874874396588126e+02,1.845655309793663434e+01
-9.170000000000000284e+01,1.174512127191132862e+02,1.867967037223197480e+01
-9.159999999999999432e+01,1.175075958757406624e+02,1.891781637348162093e+01
-9.150000000000000000e+01,1.175187462375752716e+02,1.907459400679028860e+01
-9.140000000000000568e+01,1.174248572559930182e+02,1.897902914029948107e+01
-9.129999999999999716e+01,1.173476308719455687e+02,1.888334819903473871e+01
-9.120000000000000284e+01,1.172758592803672855e+02,1.880766575993407130e+01
-9.109999999999999432e+01,1.171962895714725050e+02,1.872912231356662005e+01
-9.100000000000000000e+01,1.170729886277004681e+02,1.865911041567254358e+01
-9.090000000000000568e+01,1.169472218788597075e+02,1.860096355376245469e+01
-9.079999999999999716e+01,1.168162451092618142e+02,1.855664961874127172e+01
-9.070000000000000284e+01,1.166741393966268845e+02,1.853255990392894148e+01
-9.059999999999999432e+01,1.164667826746422605e+02,1.851464695327021204e+01
-9.050000000000000000e+01,1.162216052286791950e+02,1.846990245554426835e+01
-9.040000000000000568e+01,1.159257063120028448e+02,1.844403994845083261e+01
-9.029999999999999716e+01,1.156319204478878362e+02,1.846046125994835663e+01
-9.020000000000000284e+01,1.153658869159235678e+02,1.851183054010720497e+01
-9.009999999999999432e+01,1.151067212483833799e+02,1.867321222938222292e+01
-9.000000000000000000e+01,1.149906187332481835e+02,1.888232621120247146e+01
-8.990000000000000568e+01,1.150360200667354178e+02,1.901129337848399459e+01
-8.980000000000001137e+01,1.150820768652582018e+02,1.917943973596195661e+01
-8.970000000000000284e+01,1.151730482342530308e+02,1.931959538587030778e+01
-8.959999999999999432e+01,1.152826233238251064e+02,1.945455266275883233e+01
-8.950000000000000000e+01,1.153768076365361424e+02,1.958275076199671361e+01
-8.940000000000000568e+01,1.155232560599028204e+02,1.968727029579476095e+01
-8.930000000000001137e+01,1.157363831750385827e+02,1.977010859842266655e+01
-8.920000000000000284e+01,1.159183815776117115e+02,1.986892348658887286e+01
-8.909999999999999432e+01,1.160461702073775143e+02,1.998283503371036929e+01
-8.900000000000000000e+01,1.161319328739444501e+02,2.011547769959418730e+01
-8.890000000000000568e+01,1.161614857829985965e+02,2.022840229481226260e+01
-8.880000000000001137e+01,1.161660922371170273e+02,2.031625018309705411e+01
-8.870000000000000284e+01,1.162009818588323213e+02,2.042242950585234595e+01
-8.859999999999999432e+01,1.162382398253495381e+02,2.045950757392604658e+01
-8.850000000000000000e+01,1.162741095177300821e+02,2.047233100923908822e+01
-8.840000000000000568e+01,1.163360046505490715e+02,2.049042862268935394e+01
-8.830000000000001137e+01,1.164030189040356333e+02,2.052231043265888033e+01
-8.820000000000000284e+01,1.164698624654525076e+02,2.054378983329401365e+01
-8.809999999999999432e+01,1.164627944557441879e+02,2.040286591986274445e+01
-8.800000000000000000e+01,1.164096074054525616e+02,2.022941281320697371e+01
-8.790000000000000568e+01,1.163307905055411169e+02,2.005035179264835321e+01
-8.780000000000001137e+01,1.162308714182981362e+02,1.986272512184144645e+01
-8.770000000000000284e+01,1.161565749233867137e+02,1.965543527678903146e+01
-8.759999999999999432e+01,1.160584784759070374e+02,1.948786422272490526e+01
-8.750000000000000000e+01,1.159945628699239535e+02,1.936276617914412768e+01
-8.740000000000000568e+01,1.160886663530159382e+02,1.938078378703341542e+01
