Time (s),Mean DBP Fallers (mmHg),SD DBP Fallers (mmHg),Mean DBP Non-Fallers (mmHg),SD DBP Non-Fallers (mmHg)
-1.042000000000000028e+02,5.941079239546395030e+01,7.304750197100524645e+00,6.342510408983627457e+01,1.157894517080807617e+01
-1.040999999999999943e+02,5.941355944257757926e+01,7.313987947623013852e+00,6.345021830403918983e+01,1.157316983532421872e+01
-1.040000000000000000e+02,5.941631474189942708e+01,7.328132022351495856e+00,6.348083926794406295e+01,1.159801564897309767e+01
-1.039000000000000057e+02,5.939532151549056493e+01,7.348906750683275035e+00,6.342845451749215613e+01,1.161318042361979685e+01
-1.037999999999999972e+02,5.937006819751866971e+01,7.371992829394651281e+00,6.337184825398121291e+01,1.163649961165251057e+01
-1.037000000000000028e+02,5.935009588345049991e+01,7.370826903998328739e+00,6.331366339393134979e+01,1.170229651381546887e+01
-1.035999999999999943e+02,5.933265583593803427e+01,7.353283636435523185e+00,6.327994410282988724e+01,1.183656406370421976e+01
-1.035000000000000000e+02,5.930659063944192866e+01,7.328622440160879492e+00,6.324978548463581518e+01,1.199146302421078758e+01
-1.034000000000000057e+02,5.926833743198108095e+01,7.284219498220049438e+00,6.318888700083603283e+01,1.209734884861206261e+01
-1.032999999999999972e+02,5.923120433760824710e+01,7.237015612375982343e+00,6.311470737230022365e+01,1.217985590155730158e+01
-1.032000000000000028e+02,5.920998739395621158e+01,7.194848887801700066e+00,6.310739121172802157e+01,1.222893556159708695e+01
-1.030999999999999943e+02,5.918253151245475863e+01,7.150091884520542784e+00,6.308263040538907518e+01,1.219548913675233059e+01
-1.030000000000000000e+02,5.917076496088309767e+01,7.094083376931879847e+00,6.303637737229040283e+01,1.213905306181848331e+01
-1.029000000000000057e+02,5.916226342223488643e+01,7.031677440837494686e+00,6.300881849282829705e+01,1.208174667900257404e+01
-1.027999999999999972e+02,5.915409801086899222e+01,6.973258097354283258e+00,6.299807767015768434e+01,1.201168627928232446e+01
-1.027000000000000028e+02,5.915032760590446514e+01,6.916283286343776204e+00,6.297680599198614004e+01,1.191539617535797824e+01
-1.025999999999999943e+02,5.913587346008363710e+01,6.867009786360241286e+00,6.295157228849173947e+01,1.183933425627925473e+01
-1.025000000000000000e+02,5.910220428246522317e+01,6.817025934604071580e+00,6.294649065457579695e+01,1.182512071488043581e+01
-1.024000000000000057e+02,5.908007331918464899e+01,6.784144068057950783e+00,6.294102166445986057e+01,1.181759766168847037e+01
-1.022999999999999972e+02,5.904271135185261699e+01,6.768626641748832107e+00,6.295951976565177688e+01,1.182387717714104980e+01
-1.022000000000000028e+02,5.900669778665021425e+01,6.758393743665837228e+00,6.297766339009938008e+01,1.183271860631791128e+01
-1.020999999999999943e+02,5.898325701974427204e+01,6.756425047694756714e+00,6.299316541687958448e+01,1.184089706767815287e+01
-1.020000000000000000e+02,5.896855491737026256e+01,6.766539768791655085e+00,6.301719386276609924e+01,1.183339292000412790e+01
-1.019000000000000057e+02,5.895621243642897724e+01,6.783158380230223550e+00,6.309456128356972471e+01,1.186433374979513999e+01
-1.017999999999999972e+02,5.894493898942315724e+01,6.804198853691030280e+00,6.318741559133961516e+01,1.193137486216233079e+01
-1.017000000000000028e+02,5.894060071450620342e+01,6.835122150310128930e+00,6.327916239354605210e+01,1.203330747672132794e+01
-1.015999999999999943e+02,5.895434534152588668e+01,6.885613388106118116e+00,6.336806855665000171e+01,1.217477380245866669e+01
-1.015000000000000000e+02,5.897401767180718934e+01,6.934798794601630512e+00,6.343215343676818918e+01,1.222763536758958836e+01
-1.014000000000000057e+02,5.900465098882531123e+01,6.970930832341477590e+00,6.347703820266749375e+01,1.224257460510117390e+01
-1.012999999999999972e+02,5.902366934292229672e+01,6.979805269694136172e+00,6.345058622456848951e+01,1.223592424211782870e+01
-1.012000000000000028e+02,5.904426352847494286e+01,6.990815661564143468e+00,6.344347517813709203e+01,1.223749163099713044e+01
-1.010999999999999943e+02,5.905920638512800025e+01,7.002054536520060601e+00,6.345092604704881012e+01,1.226443397119027168e+01
-1.010000000000000000e+02,5.908342096287676526e+01,7.011027217462784122e+00,6.345255927670486784e+01,1.233316629278932375e+01
-1.009000000000000057e+02,5.908996586102015414e+01,7.016547312203512909e+00,6.349006599628179259e+01,1.241803160450481158e+01
-1.007999999999999972e+02,5.908888579849884337e+01,7.016900633690840827e+00,6.351943689641297652e+01,1.249227744536734086e+01
-1.007000000000000028e+02,5.908243609944702257e+01,7.011903505465247655e+00,6.352303866199689253e+01,1.253829579301386943e+01
-1.005999999999999943e+02,5.907472430585833223e+01,7.010474657773406726e+00,6.347770071845521045e+01,1.255795016270492148e+01
-1.005000000000000000e+02,5.906258709898340697e+01,7.017032406431509273e+00,6.342950946393116851e+01,1.259349320951823969e+01
-1.004000000000000057e+02,5.904939618172596738e+01,7.035176208495474981e+00,6.337447171171676530e+01,1.264155865095214715e+01
-1.002999999999999972e+02,5.903860954052778709e+01,7.049614421536789521e+00,6.338917106823141978e+01,1.265891122398523905e+01
-1.002000000000000028e+02,5.904330093763088882e+01,7.054271385468032562e+00,6.341687048283244366e+01,1.268672204248753843e+01
-1.000999999999999943e+02,5.905232673967628898e+01,7.056810515476358958e+00,6.344370782522999264e+01,1.268463704936677949e+01
-1.000000000000000000e+02,5.906135254172168914e+01,7.061925184791735255e+00,6.354708674177913963e+01,1.266450418075223183e+01
-9.990000000000000568e+01,5.907642814078464966e+01,7.073100295420290173e+00,6.365807818164233822e+01,1.266042492951510035e+01
-9.979999999999999716e+01,5.909982538511862060e+01,7.085230269269588987e+00,6.376475402278389026e+01,1.266843452399302805e+01
-9.970000000000000284e+01,5.910975327712923644e+01,7.084165311956338584e+00,6.383120292081918734e+01,1.263842970556176404e+01
