Time (s),Mean SBP Fallers (mmHg),SD SBP Fallers (mmHg),Mean SBP Non-Fallers (mmHg),SD SBP Non-Fallers (mmHg)
-1.022000000000000028e+02,1.153651609155196383e+02,1.709563049079471853e+01,1.228794631084433462e+02,1.903235847771069800e+01
-1.020999999999999943e+02,1.153067956197353681e+02,1.710424186927870238e+01,1.227616409766036440e+02,1.907515664086732343e+01
-1.020000000000000000e+02,1.152798972450621164e+02,1.710492122496993517e+01,1.227219368695360515e+02,1.916463246176481405e+01
-1.019000000000000057e+02,1.152609402061122950e+02,1.710899571831918564e+01,1.228648834004704469e+02,1.922961435338952896e+01
-1.017999999999999972e+02,1.152540562352936604e+02,1.714844412755868319e+01,1.229003733509642018e+02,1.931076339740716818e+01
-1.017000000000000028e+02,1.152433298365998979e+02,1.720613928933718739e+01,1.228692675861585855e+02,1.947225708411681566e+01
-1.015999999999999943e+02,1.152461295620915962e+02,1.728006489989799022e+01,1.228673678062404093e+02,1.972609913868005549e+01
-1.015000000000000000e+02,1.152497898022819101e+02,1.735818117307555397e+01,1.228748022242793922e+02,2.008283481550767746e+01
-1.014000000000000057e+02,1.152480204989644079e+02,1.743120462520539604e+01,1.228879544641479384e+02,2.048524015253087782e+01
-1.012999999999999972e+02,1.152467347737890435e+02,1.751303617237478960e+01,1.228972744128097219e+02,2.072755366089564077e+01
-1.012000000000000028e+02,1.152491883851421761e+02,1.754274691909886030e+01,1.229857112540726547e+02,2.070918350251894680e+01
-1.010999999999999943e+02,1.151609920539029872e+02,1.752794058668339261e+01,1.230855951214059587e+02,2.072049806654545634e+01
-1.010000000000000000e+02,1.150583131083892710e+02,1.750882798858567213e+01,1.231482433826531917e+02,2.077803867169733465e+01
-1.009000000000000057e+02,1.150414404943543616e+02,1.748144646449792461e+01,1.231568693424070915e+02,2.084319470307240252e+01
-1.007999999999999972e+02,1.150388895475411744e+02,1.746003169665511834e+01,1.230357063966556552e+02,2.079301847472023468e+01
-1.007000000000000028e+02,1.150307369476322066e+02,1.744254392710602275e+01,1.229648085478440436e+02,2.074047434939215862e+01
-1.005999999999999943e+02,1.150282550327774231e+02,1.743525514030102030e+01,1.230027492216630804e+02,2.064315473294731618e+01
-1.005000000000000000e+02,1.150418043188981585e+02,1.744261983080457057e+01,1.231164638456879317e+02,2.052315508808520050e+01
